GISCO_ID,Cluster_ID,Centroid_Lat,Centroid_Lon,Biogas_Potential_m3
DE_09679153,CLUSTER_246,49.654226268901645,9.860023948362656,803575.4788032635
DE_09679154,CLUSTER_332,49.74202842276617,9.83825137557075,129944.71336796449
DE_09679155,CLUSTER_246,49.70503355024219,9.84460753224107,354254.21907900536
DE_09679156,CLUSTER_134,49.84092941673388,10.051364262213248,464286.0523725623
DE_09679161,CLUSTER_139,49.83638753011609,9.850758533909568,111430.16648368904
DE_09679164,CLUSTER_251,49.72207861920085,9.664433472289526,621050.3220458362
DE_09679165,CLUSTER_251,49.724741147368825,9.747931525683942,785828.7628675557
DE_09679167,CLUSTER_154,49.88702513346874,10.162429124607456,239920.22901524336
DE_09679169,CLUSTER_134,49.87471899991065,10.088107676755214,537594.3232982575
DE_09679170,CLUSTER_336,49.66159147601358,10.05463762033074,2353608.7823669654
DE_09679174,CLUSTER_134,49.86141114380301,10.120657813150007,784851.3109891717
DE_09679175,CLUSTER_16,49.75116960135698,10.006153864875904,403757.44723408803
DE_09679176,CLUSTER_246,49.70956835852459,9.92533349986797,1211537.3411418542
DE_09679177,CLUSTER_424,49.81209420636504,9.693405671302756,731297.8136125283
DE_09679179,CLUSTER_87,49.55907609301386,9.953215436442566,909332.2190469216
DE_09679180,CLUSTER_97,49.87724456487326,9.960333756852965,942975.1748569629
DE_09679182,CLUSTER_494,49.51891596066992,9.967660976426602,750008.8170949572
DE_09679185,CLUSTER_16,49.79523173292,10.038471416519366,607185.9876831304
DE_09679187,CLUSTER_16,49.69848570837907,10.038882267910228,90197.30388330242
DE_09679188,CLUSTER_87,49.588712754034326,9.9923262341213,1084996.1921007428
DE_09679192,CLUSTER_494,49.4969462219148,9.938310836357577,248456.16245190817
DE_09679193,CLUSTER_16,49.75989843206968,10.033231600938237,400197.39518180926
DE_09679194,CLUSTER_139,49.87642433756466,9.856935715252098,96556.0333078712
DE_09679196,CLUSTER_251,49.78758869873171,9.730673837677523,263848.46493934206
DE_09679200,CLUSTER_139,49.85309058665179,9.795149437509142,572256.8887389634
DE_09679201,CLUSTER_134,49.876664580202885,10.03163491943439,912241.5052478322
DE_09679202,CLUSTER_139,49.84041564318623,9.887278546987275,184774.2451467179
DE_09679204,CLUSTER_332,49.76039672194301,9.791716962500766,198019.71953948322
DE_09679205,CLUSTER_332,49.78539090106048,9.800994192220587,505797.07843901694
DE_09679206,CLUSTER_16,49.70796455138892,9.9997852914466,206701.01232329657
DE_09679209,CLUSTER_332,49.80730499434275,9.85958171788428,153221.40957200687
DE_09679451,CLUSTER_97,49.91193323986926,9.949639033105248,7924.857789139201
DE_09679452,CLUSTER_246,49.73175903098917,9.86719737764762,8795.1706881108
DE_09761000,CLUSTER_485,48.34574988694632,10.88563588481662,2077434.6566606846
DE_09762000,CLUSTER_313,47.8798111262791,10.61632888446611,582701.718600835
DE_09763000,CLUSTER_51,47.73819141539339,10.30781239233761,1307815.597074627
DE_09764000,CLUSTER_548,47.979235842847714,10.163683065362852,1088349.2669874814
DE_09771111,CLUSTER_107,48.35658471438741,11.127880839971343,605739.9980453049
