PlantLocation,Alternative,Capacity,Omega,N_CH4,CO2_Production,Revenue,Cost,Capex,GHG,FLH,PlantLatitude,PlantLongitude,EEG_Revenue,Spot_Revenue,Heat_Revenue,Bonus
R,Upgrading_tech1,3500000,3196347.03196347,1854288.094467607,1342058.9374958628,554617.5690552613,718905.1869976266,6460727.558650183,774689.8204563891,7999.999999999998,49.97616954938321,10.554161789281585,0,0,0,0
S,Upgrading_tech1,3500000,3196347.03196347,1933602.5640099098,1262744.4679535602,578340.526895364,722870.9104747417,6460727.558650183,807826.0479674448,7999.999999999998,48.57653332891366,10.67724557083233,0,0,0,0
T,Upgrading_tech1,3500000,3196347.03196347,1892170.4187126497,1304176.6132508202,565948.1722369536,720799.3032098787,6460727.558650183,790516.4069805772,7999.999999999998,49.99683175254771,9.784102592015795,0,0,0,0
U,Upgrading_tech1,3500000,3196347.03196347,1883441.2347640775,1312905.7971993925,563337.2733179356,720362.8440124501,6460727.558650183,786869.5033704925,7999.999999999998,49.30758405311438,10.333891337079743,0,0,0,0
V,Upgrading_tech1,3500000,3196347.03196347,1815079.0600098488,1381267.9719536211,542890.1468489459,716944.7352747386,6460727.558650183,758308.9571186076,7999.999999999998,47.659213393188494,11.06190476641004,0,0,0,0
W,Upgrading_tech1,3500000,3196347.03196347,1813978.0738029748,1382368.9581604952,542560.8418744698,716889.685964395,6460727.558650183,757848.9839302595,7999.999999999998,47.81352847468898,12.788569758104044,0,0,0,0
X,Upgrading_tech1,3500000,3196347.03196347,1861758.6732816165,1334588.3586818534,556852.0191785316,719278.715938327,6460727.558650183,777810.900388573,7999.999999999998,50.30821982002603,10.191684692980097,0,0,0,0
Y,Upgrading_tech1,3500000,3196347.03196347,1966722.057861896,1229624.974101574,588246.5675064932,724526.885167341,6460727.558650183,821662.8054930698,7999.999999999998,48.61251310457338,13.37841709436178,0,0,0,0
Z,Upgrading_tech1,3500000,3196347.03196347,1941485.670112202,1254861.361851268,580698.3639305597,723265.0657798563,6460727.558650183,811119.4747382058,7999.999999999998,48.333289949917386,12.005348543545898,0,0,0,0
AA,Upgrading_tech1,3500000,3196347.03196347,1834793.8917017004,1361553.1402617695,548786.8530079786,717930.4768593312,6460727.558650183,766545.4762815444,7999.999999999998,50.15668410400269,11.881188141728533,0,0,0,0
AB,Upgrading_tech1,3500000,3196347.03196347,1990872.6759732685,1205474.3559902015,595470.0173836047,725734.4160729096,6460727.558650183,831752.520281419,7999.999999999998,48.71738414005172,12.4392750247378,0,0,0,0
AC,Upgrading_tech1,3500000,3196347.03196347,1863204.6259137818,1333142.406049688,557284.5036108122,719351.0135699353,6460727.558650183,778414.9946435825,7999.999999999998,49.243598773579805,10.794422654829887,0,0,0,0
