PlantID,SupplyCluster,Feedstock,Quantity_t,Distance_km
A,CLUSTER_187,horse_man,2955.0,18.461802228985466
A,CLUSTER_187,pig_man,939.3,18.461802228985466
A,CLUSTER_189,horse_man,1789.0,58.01158896477267
A,CLUSTER_19,pig_man,322.3,85.02679161624236
A,CLUSTER_190,cattle_man,9509.0,43.99583835577257
A,CLUSTER_190,horse_man,1595.7,43.99583835577257
A,CLUSTER_190,pig_man,1086.0,43.99583835577257
A,CLUSTER_192,horse_man,605.0,61.04177579739274
A,CLUSTER_194,pig_man,308.943,120.41989709979882
A,CLUSTER_195,pig_man,34.13825,139.01703243609694
A,CLUSTER_199,horse_man,704.0,50.70064388854717
A,CLUSTER_199,pig_man,341.399,50.70064388854717
A,CLUSTER_20,pig_man,3376.0,108.25152466318454
A,CLUSTER_201,cattle_man,7892.0,27.505496357043786
A,CLUSTER_201,horse_man,2174.1,27.505496357043786
A,CLUSTER_202,horse_man,1917.3,51.2075342149227
A,CLUSTER_202,pig_man,229.17,51.2075342149227
A,CLUSTER_204,pig_man,37.494,104.07790286357238
A,CLUSTER_207,cattle_man,25080.0,43.32194777704542
A,CLUSTER_207,horse_man,1783.0,43.32194777704542
A,CLUSTER_208,cattle_man,5066.0,20.81510948455132
A,CLUSTER_208,horse_man,1364.6,20.81510948455132
A,CLUSTER_208,pig_man,22.65,20.81510948455132
A,CLUSTER_210,horse_man,779.0,61.105420194007095
A,CLUSTER_210,pig_man,122.09999999999998,61.105420194007095
A,CLUSTER_211,cattle_man,4080.0000000000005,10.05851913083938
A,CLUSTER_211,cattle_slu,27580.0,10.05851913083938
A,CLUSTER_211,horse_man,442.0,10.05851913083938
A,CLUSTER_211,pig_man,51.2,10.05851913083938
A,CLUSTER_212,pig_man,132.0,91.3398501552146
A,CLUSTER_218,horse_man,4008.0000000000005,69.36090168456478
A,CLUSTER_225,horse_man,1039.7,62.27767171694203
A,CLUSTER_225,pig_man,1314.9,62.27767171694203
A,CLUSTER_227,pig_man,882.0,90.60349498355654
A,CLUSTER_229,pig_man,38.028209,108.87220893603931
A,CLUSTER_231,horse_man,1176.0,67.31851382933742
A,CLUSTER_231,pig_man,10.6436,67.31851382933742
A,CLUSTER_236,pig_man,144.7,138.00190347088912
A,CLUSTER_237,pig_man,687.516,122.10782845671672
A,CLUSTER_238,horse_man,820.7,72.95548091206051
A,CLUSTER_239,horse_man,2882.5,55.28491089964535
A,CLUSTER_239,pig_man,931.74,55.28491089964535
A,CLUSTER_24,cattle_man,15326.0,38.11392043088909
A,CLUSTER_24,horse_man,1586.5,38.11392043088909
A,CLUSTER_24,pig_man,438.94,38.11392043088909
A,CLUSTER_242,cattle_man,11300.0,31.952003081215725
A,CLUSTER_242,horse_man,850.0,31.952003081215725
A,CLUSTER_242,pig_man,257.9398,31.952003081215725
A,CLUSTER_244,cattle_man,18650.0,39.652442700870886
A,CLUSTER_244,horse_man,3070.0,39.652442700870886
A,CLUSTER_245,cattle_man,13085.0,14.508419798096975
A,CLUSTER_245,cattle_slu,83740.0,14.508419798096975
A,CLUSTER_245,horse_man,793.9,14.508419798096975
A,CLUSTER_245,pig_man,381.8,14.508419798096975
A,CLUSTER_247,horse_man,632.0,57.00966000577542
A,CLUSTER_247,pig_man,228.0,57.00966000577542
A,CLUSTER_249,cattle_man,9836.0,39.52400481490064
A,CLUSTER_249,horse_man,1754.0,39.52400481490064
A,CLUSTER_249,pig_man,509.2300000000001,39.52400481490064
A,CLUSTER_251,horse_man,239.3,64.25190980717115
A,CLUSTER_251,pig_man,335.71000000000004,64.25190980717115
A,CLUSTER_253,cattle_man,6043.0,8.380490324749962
A,CLUSTER_253,cattle_slu,33225.0,8.380490324749962
A,CLUSTER_253,horse_man,3082.0,8.380490324749962
A,CLUSTER_253,pig_man,379.28,8.380490324749962
A,CLUSTER_257,horse_man,1598.0,76.32846587254794
A,CLUSTER_257,pig_man,1704.41,76.32846587254794
A,CLUSTER_259,horse_man,817.6,53.068625705310765
A,CLUSTER_259,pig_man,260.08,53.068625705310765
A,CLUSTER_261,pig_man,42.392,78.33851759629972
A,CLUSTER_263,cattle_man,11151.51,6.066365296683243
A,CLUSTER_263,cattle_slu,31750.0,6.066365296683243
A,CLUSTER_263,horse_man,3265.0,6.066365296683243
A,CLUSTER_263,pig_man,198.21,6.066365296683243
A,CLUSTER_263,rape_str,1024.8209549406506,6.066365296683243
A,CLUSTER_265,horse_man,1119.1,52.19175420687392
A,CLUSTER_265,pig_man,39.79,52.19175420687392
A,CLUSTER_270,pig_man,61.2952,137.20281639947947
A,CLUSTER_274,pig_man,587.9,115.81299900712628
A,CLUSTER_277,cattle_man,6870.0,43.9514683632542
A,CLUSTER_277,horse_man,872.3,43.9514683632542
A,CLUSTER_277,pig_man,203.959,43.9514683632542
A,CLUSTER_281,horse_man,1024.5,56.802693185973006
A,CLUSTER_288,horse_man,1884.0,54.346040293322886
A,CLUSTER_288,pig_man,786.0,54.346040293322886
A,CLUSTER_290,pig_man,122.18799999999999,86.1548787774901
A,CLUSTER_293,pig_man,338.2269,101.56187500076854
A,CLUSTER_3,horse_man,5877.0,75.9864398479407
A,CLUSTER_3,pig_man,16.916,75.9864398479407
A,CLUSTER_301,horse_man,760.0,73.68685719231642
A,CLUSTER_305,pig_man,388.58,117.2153714161664
A,CLUSTER_308,horse_man,482.0,49.82764672842967
A,CLUSTER_309,horse_man,240.3,67.61530679361668
A,CLUSTER_309,pig_man,216.09,67.61530679361668
A,CLUSTER_313,cattle_man,20560.0,41.52600450623784
A,CLUSTER_313,horse_man,2810.0,41.52600450623784
A,CLUSTER_313,pig_man,14.107,41.52600450623784
A,CLUSTER_314,pig_man,452.226,121.70245393295782
A,CLUSTER_319,pig_man,343.0,130.4577920651493
A,CLUSTER_32,cattle_man,20691.0,24.115315026992736
A,CLUSTER_32,horse_man,1842.9,24.115315026992736
A,CLUSTER_32,pig_man,176.1042,24.115315026992736
A,CLUSTER_322,pig_man,57.48,79.30289146137605
A,CLUSTER_323,pig_man,275.81,128.2796245919584
A,CLUSTER_324,horse_man,736.19,48.25986825389992
A,CLUSTER_324,pig_man,258.47,48.25986825389992
A,CLUSTER_325,pig_man,710.15139,96.64331188112816
A,CLUSTER_335,pig_man,497.042,114.0326119204406
A,CLUSTER_338,pig_man,496.0,104.02165975475612
A,CLUSTER_34,pig_man,547.047,114.69385355418176
A,CLUSTER_340,horse_man,1279.0,46.65482429942671
A,CLUSTER_340,pig_man,150.7,46.65482429942671
A,CLUSTER_341,pig_man,160.94299999999998,98.57203219937752
A,CLUSTER_343,horse_man,329.269,54.87180394943698
A,CLUSTER_343,pig_man,296.7,54.87180394943698
A,CLUSTER_347,horse_man,826.5,50.09082769877433
A,CLUSTER_347,pig_man,55.193,50.09082769877433
A,CLUSTER_348,cattle_man,2194.0,40.15669813927691
A,CLUSTER_348,horse_man,429.0,40.15669813927691
A,CLUSTER_348,pig_man,264.2,40.15669813927691
A,CLUSTER_350,cattle_man,14500.0,40.89483033824485
A,CLUSTER_350,horse_man,2875.0,40.89483033824485
A,CLUSTER_350,pig_man,183.62,40.89483033824485
A,CLUSTER_351,horse_man,1500.0,67.10053748647869
A,CLUSTER_36,horse_man,1610.7,69.61168607270416
A,CLUSTER_36,pig_man,1634.0,69.61168607270416
A,CLUSTER_362,cattle_man,13100.0,15.207017366724976
A,CLUSTER_362,cattle_slu,81600.0,15.207017366724976
A,CLUSTER_362,horse_man,2769.0,15.207017366724976
A,CLUSTER_367,pig_man,1184.2,125.18315483796012
A,CLUSTER_369,cattle_man,3235.7,29.95411835943476
A,CLUSTER_369,horse_man,3562.3,29.95411835943476
A,CLUSTER_37,horse_man,943.0,57.78072386797286
A,CLUSTER_37,pig_man,3353.8,57.78072386797286
A,CLUSTER_370,cattle_man,11090.0,26.558376153217825
A,CLUSTER_370,horse_man,1921.0,26.558376153217825
A,CLUSTER_370,pig_man,15.373134,26.558376153217825
A,CLUSTER_375,horse_man,280.5,64.4610500127093
A,CLUSTER_376,pig_man,263.4000241,121.85958126178322
A,CLUSTER_385,horse_man,616.3,50.9024160389416
A,CLUSTER_385,pig_man,407.79,50.9024160389416
A,CLUSTER_387,pig_man,180.0399,132.4138771541592
A,CLUSTER_389,pig_man,58.461,128.0780706749961
A,CLUSTER_391,cattle_man,11195.0,20.533740015575933
A,CLUSTER_391,horse_man,3066.0,20.533740015575933
A,CLUSTER_392,horse_man,513.0,64.01370260149434
A,CLUSTER_392,pig_man,46.5,64.01370260149434
A,CLUSTER_396,horse_man,4460.0,63.2737484233378
A,CLUSTER_398,horse_man,1395.0,75.37399422980822
A,CLUSTER_398,pig_man,169.0001898,75.37399422980822
A,CLUSTER_399,pig_man,646.33,81.30974612900788
A,CLUSTER_4,horse_man,2532.2,51.70686189192628
A,CLUSTER_4,pig_man,730.49,51.70686189192628
A,CLUSTER_400,pig_man,2588.0,91.21348066457423
A,CLUSTER_401,cattle_man,1666.8,34.87116265604755
A,CLUSTER_401,horse_man,929.5,34.87116265604755
A,CLUSTER_401,pig_man,189.6729,34.87116265604755
A,CLUSTER_403,pig_man,782.0,104.8126536550533
A,CLUSTER_404,horse_man,1860.0,49.64665413632767
A,CLUSTER_404,pig_man,75.63,49.64665413632767
A,CLUSTER_409,cattle_man,12230.0,14.255533584801324
A,CLUSTER_409,cattle_slu,56380.0,14.255533584801324
A,CLUSTER_409,horse_man,858.0,14.255533584801324
A,CLUSTER_409,pig_man,568.9,14.255533584801324
A,CLUSTER_41,pig_man,16.8586,92.2385350648729
A,CLUSTER_415,cattle_man,6170.0,20.500566986717665
A,CLUSTER_415,horse_man,3241.0,20.500566986717665
A,CLUSTER_416,horse_man,387.2,74.91549908003113
A,CLUSTER_418,pig_man,116.425,86.87899515113969
A,CLUSTER_422,horse_man,1414.0,47.85754378689245
A,CLUSTER_426,horse_man,3962.2,69.54258328177752
A,CLUSTER_426,pig_man,46.733,69.54258328177752
A,CLUSTER_428,horse_man,792.0,48.47842086687636
A,CLUSTER_428,pig_man,58.397,48.47842086687636
A,CLUSTER_431,pig_man,238.34,85.20507464854262
A,CLUSTER_434,cattle_man,10390.0,44.32887089368855
A,CLUSTER_434,horse_man,816.4,44.32887089368855
A,CLUSTER_443,cattle_man,12880.0,35.88744743155749
A,CLUSTER_443,horse_man,1016.9999999999999,35.88744743155749
A,CLUSTER_444,cattle_man,2690.0,40.2690927738138
A,CLUSTER_444,horse_man,379.2,40.2690927738138
A,CLUSTER_444,pig_man,84.611,40.2690927738138
A,CLUSTER_446,horse_man,1600.0,51.8189729188856
A,CLUSTER_446,pig_man,216.2920123,51.8189729188856
A,CLUSTER_448,horse_man,654.0,69.69511672525863
A,CLUSTER_451,cattle_man,7650.0,29.220644769141384
A,CLUSTER_451,horse_man,523.0,29.220644769141384
A,CLUSTER_451,pig_man,528.0,29.220644769141384
A,CLUSTER_452,horse_man,922.0,56.018057864893336
A,CLUSTER_452,pig_man,550.0,56.018057864893336
A,CLUSTER_454,pig_man,279.8,101.5679915626775
A,CLUSTER_458,cattle_man,4990.0,5.532322482796874
A,CLUSTER_458,cattle_slu,11000.0,5.532322482796874
A,CLUSTER_458,horse_man,2320.0,5.532322482796874
A,CLUSTER_458,rape_str,488.99999999999994,5.532322482796874
A,CLUSTER_459,pig_man,243.8,135.6191389574703
A,CLUSTER_462,horse_man,386.0,75.24325223572903
A,CLUSTER_462,pig_man,169.4,75.24325223572903
A,CLUSTER_463,horse_man,384.3,61.18698537432101
A,CLUSTER_463,pig_man,180.00319,61.18698537432101
A,CLUSTER_466,horse_man,4155.0,67.18423057145642
A,CLUSTER_466,pig_man,43.27128999999999,67.18423057145642
A,CLUSTER_469,cattle_man,3134.0,25.078203212964517
A,CLUSTER_469,horse_man,840.0,25.078203212964517
A,CLUSTER_469,pig_man,324.0,25.078203212964517
A,CLUSTER_47,horse_man,414.0,51.968428964375256
A,CLUSTER_472,horse_man,709.0,73.12442091669651
A,CLUSTER_473,horse_man,745.0,48.96603928093177
A,CLUSTER_473,pig_man,510.99999999999994,48.96603928093177
A,CLUSTER_477,horse_man,908.0,73.2802237847258
A,CLUSTER_48,horse_man,1045.96,50.011174274055065
A,CLUSTER_48,pig_man,1701.4,50.011174274055065
A,CLUSTER_480,cattle_man,173.2,17.059969438236426
A,CLUSTER_480,horse_man,560.6,17.059969438236426
A,CLUSTER_484,horse_man,420.9,58.38987374659484
A,CLUSTER_484,pig_man,64.9729,58.38987374659484
A,CLUSTER_485,cattle_man,3740.0,33.20209641142554
A,CLUSTER_485,horse_man,1447.0,33.20209641142554
A,CLUSTER_485,pig_man,19.72,33.20209641142554
A,CLUSTER_489,horse_man,367.5,57.68214544464127
A,CLUSTER_493,pig_man,193.15,142.46038397755794
A,CLUSTER_497,cattle_man,5760.0,17.07264439448667
A,CLUSTER_497,horse_man,138.1,17.07264439448667
A,CLUSTER_497,pig_man,347.9,17.07264439448667
A,CLUSTER_50,horse_man,1154.13,63.67414045894898
A,CLUSTER_50,pig_man,604.7121,63.67414045894898
A,CLUSTER_500,horse_man,798.0,63.0075211854065
A,CLUSTER_500,pig_man,32.309999999999995,63.0075211854065
A,CLUSTER_502,horse_man,2093.0,63.02513185508883
A,CLUSTER_504,pig_man,442.0,98.74052156000356
A,CLUSTER_506,cattle_man,1700.0,40.25445741000759
A,CLUSTER_506,horse_man,529.0,40.25445741000759
A,CLUSTER_506,pig_man,228.0325,40.25445741000759
A,CLUSTER_508,horse_man,3810.0,65.97241610545154
A,CLUSTER_509,horse_man,798.0,61.18556674790812
A,CLUSTER_509,pig_man,70.445,61.18556674790812
A,CLUSTER_512,cattle_man,5080.0,36.78257258926192
A,CLUSTER_512,horse_man,541.0,36.78257258926192
A,CLUSTER_512,pig_man,391.0,36.78257258926192
A,CLUSTER_513,cattle_man,2780.0,37.62116436813127
A,CLUSTER_513,horse_man,1042.0,37.62116436813127
A,CLUSTER_513,pig_man,657.0,37.62116436813127
A,CLUSTER_514,horse_man,1246.0,67.325602609159
A,CLUSTER_514,pig_man,13.03,67.325602609159
A,CLUSTER_515,cattle_man,990.9999999999999,45.30507032217479
A,CLUSTER_515,horse_man,126.2,45.30507032217479
A,CLUSTER_515,pig_man,1089.0,45.30507032217479
A,CLUSTER_522,cattle_man,6580.0,33.652434616620944
A,CLUSTER_522,horse_man,288.1,33.652434616620944
A,CLUSTER_522,pig_man,183.7,33.652434616620944
A,CLUSTER_523,pig_man,56.7,115.133761606955
A,CLUSTER_524,cattle_man,2192.0,24.261650263811767
A,CLUSTER_524,horse_man,1677.6,24.261650263811767
A,CLUSTER_524,pig_man,18.178,24.261650263811767
A,CLUSTER_529,horse_man,807.0,61.68622285127066
A,CLUSTER_529,pig_man,18.6,61.68622285127066
A,CLUSTER_53,horse_man,1543.0,59.38404520554782
A,CLUSTER_531,horse_man,424.9,69.59149845147427
A,CLUSTER_531,pig_man,133.0,69.59149845147427
A,CLUSTER_533,horse_man,654.0,75.82859549082231
A,CLUSTER_533,pig_man,70.10000000000001,75.82859549082231
A,CLUSTER_537,pig_man,2429.0,99.00404625725568
A,CLUSTER_539,horse_man,433.0,49.70234339992278
A,CLUSTER_543,cattle_man,10570.0,36.18488208052024
A,CLUSTER_543,horse_man,158.9,36.18488208052024
A,CLUSTER_543,pig_man,36.089,36.18488208052024
A,CLUSTER_544,pig_man,15.550000000000002,78.95057424475526
A,CLUSTER_545,cattle_man,1080.0,36.48079940847762
A,CLUSTER_545,horse_man,1719.0,36.48079940847762
A,CLUSTER_545,pig_man,227.1,36.48079940847762
A,CLUSTER_548,horse_man,2324.0,60.34342622510701
A,CLUSTER_59,horse_man,456.477,73.78021994149739
A,CLUSTER_59,pig_man,56.019,73.78021994149739
A,CLUSTER_60,cattle_man,6475.0,25.14232226691127
A,CLUSTER_60,horse_man,2507.8,25.14232226691127
A,CLUSTER_60,pig_man,45.1582,25.14232226691127
A,CLUSTER_61,horse_man,2388.0,66.41990080430602
A,CLUSTER_61,pig_man,392.8,66.41990080430602
A,CLUSTER_64,pig_man,1190.4,134.87857596208897
A,CLUSTER_65,horse_man,2654.0,69.25385208645736
A,CLUSTER_65,pig_man,165.989,69.25385208645736
A,CLUSTER_70,cattle_man,18095.0,6.698597411719443
A,CLUSTER_70,cattle_slu,74820.0,6.698597411719443
A,CLUSTER_70,horse_man,1087.859,6.698597411719443
A,CLUSTER_70,pig_man,751.0,6.698597411719443
A,CLUSTER_71,horse_man,2948.9,58.768701120449286
A,CLUSTER_71,pig_man,226.348,58.768701120449286
A,CLUSTER_75,pig_man,1113.72,82.99097369591664
A,CLUSTER_76,pig_man,125.42999999999999,110.92705194452664
A,CLUSTER_77,horse_man,1160.0,77.28033415479685
A,CLUSTER_77,pig_man,82.7,77.28033415479685
A,CLUSTER_79,cattle_man,15570.0,35.80386607774472
A,CLUSTER_79,horse_man,1933.0,35.80386607774472
A,CLUSTER_79,pig_man,1322.00245,35.80386607774472
A,CLUSTER_85,pig_man,109.2627,139.69907207380936
A,CLUSTER_88,cattle_man,1437.0,17.271724173954993
A,CLUSTER_88,horse_man,1496.2,17.271724173954993
A,CLUSTER_88,pig_man,46.485800000000005,17.271724173954993
A,CLUSTER_90,horse_man,1376.0,58.55374318596933
A,CLUSTER_91,cattle_man,1586.06,34.03018530518364
A,CLUSTER_91,horse_man,619.6,34.03018530518364
A,CLUSTER_91,pig_man,218.0,34.03018530518364
A,CLUSTER_92,horse_man,2276.0,58.058094202153136
A,CLUSTER_92,pig_man,122.73699999999998,58.058094202153136
A,CLUSTER_95,pig_man,778.92,83.78486201164756
