SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km,,,,,,,,,,,,,
CLUSTER_187,D,cattle_man,4003,16.28642921,,,,,,,,,,,,,
CLUSTER_187,D,cattle_slu,24160,16.28642921,,,,,,,,,,,,,
CLUSTER_187,D,horse_man,2955,16.28642921,,,,,,,,,,,,,
CLUSTER_187,D,legume_str,419.6,16.28642921,,,,,,,,,,,,,
CLUSTER_187,D,pig_man,939.3,16.28642921,,,,,,,,,,,,,
CLUSTER_187,D,rape_str,1186.6,16.28642921,,,,,,,,,,,,,
CLUSTER_201,D,cattle_man,7892,43.76030157,,,,,,,,,,,,,
CLUSTER_201,D,horse_man,2174.1,43.76030157,,,,,,,,,,,,,
CLUSTER_206,D,cattle_man,21950,35.50703474,,,,,,,,,,,,,
CLUSTER_206,D,horse_man,726.8,35.50703474,,,,,,,,,,,,,
CLUSTER_206,D,pig_man,146.60495,35.50703474,,,,,,,,,,,,,
CLUSTER_210,D,cattle_man,12910,30.07109381,,,,,,,,,,,,,
CLUSTER_210,D,horse_man,779,30.07109381,,,,,,,,,,,,,
CLUSTER_210,D,legume_str,108,30.07109381,,,,,,,,,,,,,
CLUSTER_210,D,pig_man,122.1,30.07109381,,,,,,,,,,,,,
CLUSTER_235,D,cattle_man,3182,20.18248681,,,,,,,,,,,,,
CLUSTER_235,D,cattle_slu,11970,20.18248681,,,,,,,,,,,,,
CLUSTER_235,D,horse_man,1307.7,20.18248681,,,,,,,,,,,,,
CLUSTER_235,D,legume_str,260.6,20.18248681,,,,,,,,,,,,,
CLUSTER_235,D,pig_man,439.78,20.18248681,,,,,,,,,,,,,
CLUSTER_235,D,rape_str,208.9,20.18248681,,,,,,,,,,,,,
CLUSTER_248,D,horse_man,258.4,59.24022379,,,,,,,,,,,,,
CLUSTER_248,D,pig_man,337,59.24022379,,,,,,,,,,,,,
CLUSTER_253,D,cattle_man,6043,39.16711148,,,,,,,,,,,,,
CLUSTER_253,D,horse_man,3082,39.16711148,,,,,,,,,,,,,
CLUSTER_253,D,pig_man,379.28,39.16711148,,,,,,,,,,,,,
CLUSTER_256,D,pig_man,14.8359,62.0561998,,,,,,,,,,,,,
CLUSTER_297,D,cattle_man,11530,40.96232528,,,,,,,,,,,,,
CLUSTER_297,D,horse_man,3459,40.96232528,,,,,,,,,,,,,
CLUSTER_297,D,pig_man,153.126,40.96232528,,,,,,,,,,,,,
CLUSTER_303,D,cattle_man,3262,49.57710701,,,,,,,,,,,,,
CLUSTER_303,D,horse_man,1570,49.57710701,,,,,,,,,,,,,
CLUSTER_303,D,pig_man,1707,49.57710701,,,,,,,,,,,,,
CLUSTER_305,D,cattle_man,4426,21.49110458,,,,,,,,,,,,,
CLUSTER_305,D,horse_man,533.2,21.49110458,,,,,,,,,,,,,
CLUSTER_305,D,legume_str,120.96,21.49110458,,,,,,,,,,,,,
CLUSTER_305,D,pig_man,388.58,21.49110458,,,,,,,,,,,,,
CLUSTER_305,D,rape_str,1126.6,21.49110458,,,,,,,,,,,,,
CLUSTER_315,D,cattle_man,6294,37.25401991,,,,,,,,,,,,,
CLUSTER_315,D,horse_man,1179.8,37.25401991,,,,,,,,,,,,,
CLUSTER_315,D,pig_man,304.3853,37.25401991,,,,,,,,,,,,,
CLUSTER_316,D,cattle_man,7202,24.71230641,,,,,,,,,,,,,
CLUSTER_316,D,horse_man,1505.3,24.71230641,,,,,,,,,,,,,
CLUSTER_316,D,legume_str,235.5,24.71230641,,,,,,,,,,,,,
CLUSTER_316,D,pig_man,1285.8,24.71230641,,,,,,,,,,,,,
CLUSTER_316,D,rape_str,1137,24.71230641,,,,,,,,,,,,,
CLUSTER_324,D,cattle_man,6315,42.61578943,,,,,,,,,,,,,
CLUSTER_324,D,horse_man,736.19,42.61578943,,,,,,,,,,,,,
CLUSTER_324,D,pig_man,258.47,42.61578943,,,,,,,,,,,,,
CLUSTER_337,D,cattle_man,13540,14.49213865,,,,,,,,,,,,,
CLUSTER_337,D,cattle_slu,79080,14.49213865,,,,,,,,,,,,,
CLUSTER_337,D,horse_man,1000.06,14.49213865,,,,,,,,,,,,,
CLUSTER_337,D,legume_str,187.9,14.49213865,,,,,,,,,,,,,
CLUSTER_337,D,rape_str,148,14.49213865,,,,,,,,,,,,,
CLUSTER_339,D,horse_man,2136.8,35.67601635,,,,,,,,,,,,,
CLUSTER_339,D,pig_man,586.97,35.67601635,,,,,,,,,,,,,
CLUSTER_341,D,cattle_man,862.8,39.46258087,,,,,,,,,,,,,
CLUSTER_341,D,horse_man,2031.8,39.46258087,,,,,,,,,,,,,
CLUSTER_341,D,pig_man,160.943,39.46258087,,,,,,,,,,,,,
CLUSTER_342,D,cattle_man,4948,52.36003958,,,,,,,,,,,,,
CLUSTER_342,D,horse_man,2247,52.36003958,,,,,,,,,,,,,
CLUSTER_342,D,pig_man,109.9,52.36003958,,,,,,,,,,,,,
CLUSTER_365,D,beet_leaf,181,4.279182258,,,,,,,,,,,,,
CLUSTER_365,D,cattle_man,16120,4.279182258,,,,,,,,,,,,,
CLUSTER_365,D,cattle_slu,94000,4.279182258,,,,,,,,,,,,,
CLUSTER_365,D,horse_man,1341,4.279182258,,,,,,,,,,,,,
CLUSTER_365,D,legume_str,86.1,4.279182258,,,,,,,,,,,,,
CLUSTER_365,D,rape_str,408.7,4.279182258,,,,,,,,,,,,,
CLUSTER_366,D,horse_man,199.48,44.17620517,,,,,,,,,,,,,
CLUSTER_368,D,cattle_man,6947,24.07919788,,,,,,,,,,,,,
CLUSTER_368,D,horse_man,1001.7,24.07919788,,,,,,,,,,,,,
CLUSTER_368,D,legume_str,152.78,24.07919788,,,,,,,,,,,,,
CLUSTER_368,D,pig_man,61.345,24.07919788,,,,,,,,,,,,,
CLUSTER_368,D,rape_str,482.8,24.07919788,,,,,,,,,,,,,
CLUSTER_376,D,cattle_man,2955,29.84077301,,,,,,,,,,,,,
CLUSTER_376,D,horse_man,494.96,29.84077301,,,,,,,,,,,,,
CLUSTER_376,D,legume_str,508,29.84077301,,,,,,,,,,,,,
CLUSTER_376,D,pig_man,263.4000241,29.84077301,,,,,,,,,,,,,
CLUSTER_377,D,cattle_man,1881.3,48.19439363,,,,,,,,,,,,,
CLUSTER_377,D,horse_man,627.7,48.19439363,,,,,,,,,,,,,
CLUSTER_377,D,pig_man,294.4,48.19439363,,,,,,,,,,,,,
CLUSTER_383,D,cattle_man,4512,21.44124575,,,,,,,,,,,,,
CLUSTER_383,D,horse_man,1382.2,21.44124575,,,,,,,,,,,,,
CLUSTER_383,D,legume_str,135.1,21.44124575,,,,,,,,,,,,,
CLUSTER_383,D,pig_man,350.7,21.44124575,,,,,,,,,,,,,
CLUSTER_383,D,rape_str,355.5,21.44124575,,,,,,,,,,,,,
CLUSTER_393,D,cattle_man,1357,13.54605769,,,,,,,,,,,,,
CLUSTER_393,D,cattle_slu,6467,13.54605769,,,,,,,,,,,,,
CLUSTER_393,D,horse_man,968.1,13.54605769,,,,,,,,,,,,,
CLUSTER_393,D,legume_str,44.84,13.54605769,,,,,,,,,,,,,
